code,label,labelNative,airtableId,created,updated,synced
aa ,Afar,Afaraf,recLYqXlDN5vbJZho,2023-02-16 15:33:33,,
ab ,Abkhaz,"аҧсуа бызшәа, аҧсшәа ",recaSszsdop8fBA79,2023-02-16 15:33:33,,
ae ,Avestan,avesta,recUZILXbQ5Vk7OiB,2023-02-16 15:33:33,,
af ,Afrikaans,Afrikaans,recSWlHrAdBzY1tMC,2023-02-16 15:33:33,,
ak ,Akan,Akan,recad8pVvnCZoIfUt,2023-02-16 15:33:33,,
am ,Amharic,አማርኛ,reco4GPoO6fSNRbCt,2023-02-16 15:33:33,,
an ,Aragonese,aragonés,recBSoNcIKeSnEWeF,2023-02-16 15:33:33,,
ar ,Arabic,العربية,recAEXNGDtRdOub7e,2023-02-27 08:39:15,2023-02-27 08:39:16,
as ,Assamese,অসমীয়া,recWmA5ARsQnX6WoI,2023-02-16 15:33:33,,
av ,Avaric,"авар мацӀ, магӀарул мацӀ ",recZPP0NXgFPmUweU,2023-02-16 15:33:33,,
ay ,Aymara,aymar aru,recKSJ1Rqr3N8SVnU,2023-02-16 15:33:33,,
az ,South Azerbaijani,تورکجه‎,rec7wV82wowVvjGPZ,2023-02-16 15:33:33,2023-02-16 16:33:33,
ba ,Bashkir,башҡорт теле,recez5etpRRnN7E7h,2023-02-16 15:33:33,,
be ,Belarusian,беларуская мова,recJRagLAUpH0AtrN,2023-02-16 15:33:33,,
bg ,Bulgarian,български език,recGEad5P6oNrwI7K,2023-02-16 15:33:33,,
bh ,Bihari,भोजपुरी,recQy6vd6Y3hIOOde,2023-02-16 15:33:33,,
bi ,Bislama,Bislama,rechFUcClTZxiUAMn,2023-02-16 15:33:33,,
bm ,Bambara,bamanankan,recXv3q6GlXs7BY8g,2023-02-16 15:33:33,,
bn ,Bengali; Bangla,বাংলা,recvN7cykR9xdnXty,2023-02-16 15:33:33,,
bo ,"Tibetan Standard, Tibetan, Central",བོད་ཡིག,recLKs2JHRPX90HtZ,2023-02-16 15:33:33,,
br ,Breton,brezhoneg,recdLZQhka3EqhVls,2023-02-16 15:33:33,,
bs ,Bosnian,bosanski jezik,recpXuywNwcG29Jjt,2023-02-16 15:33:33,,
ca ,Catalan; Valencian,"català, valencià ",recxFnGKPJSHDJbQm,2023-02-16 15:33:33,,
ce ,Chechen,нохчийн мотт,recbM95sCWqgLiQMe,2023-02-16 15:33:33,,
ch ,Chamorro,Chamoru,rec1TQSMFyzEpQoPp,2023-02-16 15:33:33,,
co ,Corsican,"corsu, lingua corsa ",recZHOnkWXGb1uXvQ,2023-02-16 15:33:33,,
cr ,Cree,ᓀᐦᐃᔭᐍᐏᐣ,recWqfoexVAS5x993,2023-02-16 15:33:33,,
cs ,Czech,"čeština, český jazyk ",recDH8fhVCd5f2kil,2023-02-16 15:33:33,,
cu ,"Old Church Slavonic, Church Slavonic, Old Bulgarian",ѩзыкъ словѣньскъ,recBfmVdTPJcWzoVU,2023-02-16 15:33:33,,
cv ,Chuvash,чӑваш чӗлхи,recCnFQTZzP4ervH3,2023-02-16 15:33:33,,
cy ,Welsh,Cymraeg,recY3Cb4iM2Bwuidx,2023-02-16 15:33:33,,
da ,Danish,dansk,recBenBceaxElu9Uk,2023-02-16 15:33:33,,
de,German,Deutsch,rec4B6J3aIsKDbh8t,2023-02-24 10:28:26,2023-02-24 10:28:26,
dv ,Divehi; Dhivehi; Maldivian;,ދިވެހި,recrn38bUiowfN8Ul,2023-02-16 15:33:33,,
dz ,Dzongkha,རྫོང་ཁ,recC0V06bDfkctb6D,2023-02-16 15:33:33,,
ee ,Ewe,Eʋegbe,rec39JOIzAU4Vg2Yv,2023-02-16 15:33:33,,
el ,"Greek, Modern",ελληνικά,recdktteJ6zUTL4ao,2023-02-24 10:28:26,2023-02-24 10:28:26,
en,English,English,reccHh5i4qC7idqUd,2023-02-27 08:39:15,2023-02-27 08:39:16,
eo ,Esperanto,Esperanto,recvgA3zUWO4CrgfL,2023-02-16 15:33:33,,
es ,Spanish,"español, castellano ",recCemxiHOsFzsHUI,2023-02-24 10:28:26,2023-02-24 10:28:26,
et ,Estonian,"eesti, eesti keel ",rech3Pk9GQ3Dpz8rh,2023-02-16 15:33:33,,
eu ,Basque,"euskara, euskera ",recYcBEfYjN74DRLH,2023-02-16 15:33:33,,
fa ,Persian (Farsi),فارسی,recMXpTp0HG4AkoJo,2023-02-16 15:33:33,,
ff ,Fula; Fulah; Pulaar; Pular,"Fulfulde, Pulaar, Pular ",rec1EqAbd3gzw6Wru,2023-02-16 15:33:33,,
fi ,Finnish,"suomi, suomen kieli ",recu2cGoHJbHhdAUd,2023-02-16 15:33:33,,
fj ,Fijian,vosa Vakaviti,recBGMoCjnZFtW6yx,2023-02-16 15:33:33,,
fo ,Faroese,føroyskt,rechyglJo7VnXUvhb,2023-02-16 15:33:33,,
fr,French,"français, langue française ",recsZX3PELUFyhX5f,2023-02-27 08:39:15,2023-02-27 08:39:16,
fy ,Western Frisian,Frysk,recuqK9vvNcPb9uMb,2023-02-16 15:33:33,,
ga ,Irish,Gaeilge,rec269HdSXKrCgXA0,2023-02-16 15:33:33,,
gd ,Scottish Gaelic; Gaelic,Gàidhlig,recTah8bq2NBDK1rv,2023-02-16 15:33:33,,
gl ,Galician,galego,reccn1jqdterjalWH,2023-02-16 15:33:33,,
gn ,Guaraní,"Avañe'ẽ",recUn5aF06HBSrmUe,2023-02-16 15:33:33,,
gu ,Gujarati,ગુજરાતી,rec2pxKWXw3b46V2a,2023-02-16 15:33:33,,
gv ,Manx,"Gaelg, Gailck ",recalNBgM85qlX8bF,2023-02-16 15:33:33,,
ha ,Hausa,"Hausa, هَوُسَ ",recTKcWC8dcPm0PRO,2023-02-16 15:33:33,,
he ,Hebrew (modern),עברית,recj4TGHmG9VpmXwu,2023-02-16 15:33:33,,
hi ,Hindi,"हिन्दी, हिंदी ",recwRjEb8lZu5to6y,2023-02-24 10:28:26,2023-02-24 10:28:26,
ho ,Hiri Motu,Hiri Motu,recGU4beahQ13JvmX,2023-02-16 15:33:33,,
hr ,Croatian,hrvatski jezik,rec5GEl8q8Vls5kR1,2023-02-16 15:33:33,,
ht ,Haitian; Haitian Creole,Kreyòl ayisyen,recTDkiRIPc48qYsz,2023-02-16 15:33:33,,
hu ,Hungarian,magyar,recw06jzkSHLFYZyA,2023-02-16 15:33:33,,
hy ,Armenian,Հայերեն,recNPYfBEvLQeMwCA,2023-02-16 15:33:33,,
hz ,Herero,Otjiherero,recJD8x3hLh2YRYBp,2023-02-16 15:33:33,,
ia ,Interlingua,Interlingua,recUEmdDQz4Q0mVMH,2023-02-16 15:33:33,,
id ,Indonesian,Bahasa Indonesia,recEHNrFwhfqvYWXl,2023-02-16 15:33:33,,
ie ,Interlingue,Originally called Occidental; then Interlingue after WWII,rec7damhzAYM75ORV,2023-02-16 15:33:33,,
ig ,Igbo,Asụsụ Igbo,recoio1uthTGtfgQK,2023-02-16 15:33:33,,
ii ,Nuosu,ꆈꌠ꒿ Nuosuhxop,recrmYZ5p6n5JpMuQ,2023-02-16 15:33:33,,
ik ,Inupiaq,"Iñupiaq, Iñupiatun ",reck4GdKzSoFuApLy,2023-02-16 15:33:33,,
io ,Ido,Ido,recpUfoMeIdIJ8AYQ,2023-02-16 15:33:33,,
is ,Icelandic,Íslenska,recUX11LtWzQHT2P4,2023-02-16 15:33:33,,
it,Italian,italiano,recpO8XBvmxBJFvg9,2023-02-24 10:28:26,2023-02-24 10:28:26,
iu ,Inuktitut,ᐃᓄᒃᑎᑐᑦ,recQscux13UAeAF7W,2023-02-16 15:33:33,,
ja ,Japanese,日本語 (にほんご),recmwso6ItOuMUP0x,2023-02-16 15:33:33,,
jv ,Javanese,basa Jawa,recksyxnX9NEVeGt6,2023-02-16 15:33:33,,
ka ,Georgian,ქართული,recabdSOr2wG4sPcD,2023-02-16 15:33:33,,
kg ,Kongo,KiKongo,rec7l6BYLuQSAPPmG,2023-02-16 15:33:33,,
ki ,"Kikuyu, Gikuyu",Gĩkũyũ,reczER3kgHfB7D9hX,2023-02-16 15:33:33,,
kj ,"Kwanyama, Kuanyama",Kuanyama,rec24ZOIuH7n6wXF4,2023-02-16 15:33:33,,
kk ,Kazakh,қазақ тілі,recm61dfACenmZt6k,2023-02-16 15:33:33,,
kl ,"Kalaallisut, Greenlandic","kalaallisut, kalaallit oqaasii ",recWunuM5p2ZALKEo,2023-02-16 15:33:33,,
km ,Khmer,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ ",recLbxUtQ1u7Jc7K1,2023-02-16 15:33:33,,
kn ,Kannada,ಕನ್ನಡ,receL26xpFDw7hQby,2023-02-16 15:33:33,,
ko ,Korean,"한국어 (韓國語), 조선어 (朝鮮語) ",recAnHm6BsLXNpZUw,2023-02-16 15:33:33,,
kr ,Kanuri,Kanuri,rech9a9EmLYF5ZOIK,2023-02-16 15:33:33,,
ks ,Kashmiri,"कश्मीरी, كشميري‎ ",recoiWw83si0L94QP,2023-02-16 15:33:33,,
ku ,Kurdish,"Kurdî, كوردی‎ ",recyo8Tnmb77rYxxF,2023-02-16 15:33:33,,
kv ,Komi,коми кыв,rec18t8Co7WVyU3fL,2023-02-16 15:33:33,,
kw ,Cornish,Kernewek,recaRAMXGa4PjNjtl,2023-02-16 15:33:33,,
ky ,Kyrgyz,"Кыргызча, Кыргыз тили ",recUbFFs2B1LmBd0W,2023-02-16 15:33:33,,
la ,Latin,"latine, lingua latina ",rec7T0xQFj4ZFbGVz,2023-02-16 15:33:33,,
lb ,"Luxembourgish, Letzeburgesch",Lëtzebuergesch,recvcXj8ImN6IYCaB,2023-02-16 15:33:33,,
lg ,Ganda,Luganda,rec8VL2Z6Fb3OrWgn,2023-02-16 15:33:33,,
li ,"Limburgish, Limburgan, Limburger",Limburgs,rec2UiCu2T2TKBbsY,2023-02-16 15:33:33,,
ln ,Lingala,Lingála,recnsl0zaLqJ9d24k,2023-02-16 15:33:33,,
lo ,Lao,ພາສາລາວ,rec0DHqDCBqsMGftD,2023-02-16 15:33:33,,
lt ,Lithuanian,lietuvių kalba,recQNMP1cBYbNg4RT,2023-02-16 15:33:33,,
lu ,Luba-Katanga,Tshiluba,rechH7iA5pFkSz5a8,2023-02-16 15:33:33,,
lv ,Latvian,latviešu valoda,recnR4u6wjhxtO9WU,2023-02-16 15:33:33,,
mg ,Malagasy,fiteny malagasy,reciKQwVxjc8kBWxJ,2023-02-16 15:33:33,,
mh ,Marshallese,Kajin M̧ajeļ,recxLradCNRNVSczc,2023-02-16 15:33:33,,
mi ,Māori,te reo Māori,recYNV6vLyjAqrKJN,2023-02-16 15:33:33,,
mk ,Macedonian,македонски јазик,recTrvkWnWaS5em6D,2023-02-16 15:33:33,,
